"ACTIVE,FULL TIME","ACTIVE,PART TIME","ACTIVE,3/4 TIME","ACTIVE,Temp/Seasonal","LEAVE OF ABSENCE,FULL TIME","LEAVE OF ABSENCE,PART TIME","TERMINATED,FULL TIME","TERMINATED,PART TIME","TERMINATED,Temp/Seasonal",Sales,Accounting,Payroll,HR,Benefits,Income,Worksite Wages & Taxes,Contra Revenue - Worksite Wages,Total Income,Worksite Payroll Taxes,Total COGS,Gross Profit,Payroll and Other Wages,Federal and State Taxes,Medical and Other Benefits,Sales and Marketing Expenses,Vehicle Expense,Administrative Expenses,Leasehold Exp (other than Rent),Business Insurance and Licenses,Depreciation Expense,Amortization Expense,Total Expense,Net Ordinary Income,Prior Period Credit/Expense,Misc Other Income,Total Other Income,Absorbed Expense,Misc Other Expense,Owner Wage Draw,Total Other Expense,Net Other Income,Net Income
1281,152,0,42,5,6,1189,136,148,4,1,3,1,2,151102.93,9909212.61,-9351276.34,709039.2,557936.27,557936.27,151102.93,45320.2,3297.1,3964.66,17185.78,1601.44,46159.84,0,3708.78,3373.01,0,124610.81,26492.12,0,2572.11,2572.11,0,800,12106.78,12906.78,-10334.67,16157.45
1338,159,0,44,3,0,1224,136,149,4,2,3,1,2,150707.78,7942503.52,-7277594.97,815616.33,664908.55,664908.55,150707.78,46436.1,5080.32,4034,16587.86,1551.8,27219.22,0,4228,634.43,0,105771.73,44936.05,0,-2129.75,-2129.75,0,0,25532.16,25532.16,-27661.91,17274.14
1357,170,0,44,4,1,1256,141,151,4,2,3,1,2,143883.37,7434298.41,-6827604.59,750577.19,606693.82,606693.82,143883.37,49803.48,4947.51,12926.21,17817.77,1737.5,23096.37,0,4760.53,407.5,0,115496.87,28386.5,-2800,1962.73,-837.27,0,1250,25006.25,26256.25,-27093.52,1292.98
1312,109,0,60,1,1,1355,206,157,3,2,3,1,2,166095.93,9001831.3,-8329666.36,838260.87,672164.94,672164.94,166095.93,60115.65,7085.26,14317.14,18758.98,1718.94,26427.91,0,4179.88,407.5,0,133011.26,33084.67,66021.45,-863.5,65157.95,5670.47,2506.3,24961.38,33138.15,32019.8,65104.47
1390,114,0,82,1,1,1395,210,165,3,1,3,1,2,159769.72,8922398.2,-8345829.44,736338.48,576568.76,576568.76,159769.72,51590.86,4250.38,11258.94,19701.65,1640.12,25100.94,0,4919.32,445.28,0,118907.49,40862.23,0,207.6,207.6,0,1110.16,24961.38,26071.54,-25863.94,14998.29
1400,121,0,122,1,1,1449,218,179,3,1,3,1,2,173499.94,10084407.49,-9450709.66,807197.77,633697.83,633697.83,173499.94,45391.25,3650.52,12361.16,21150.33,2760.94,27883.78,0,4906.5,491.95,0,118596.43,54903.51,0,203.69,203.69,0,1011.52,24961.38,25972.9,-25769.21,29134.3
1468,193,0,148,1,2,1494,228,188,3,1,3,1,2,160149.3,9659971.07,-9074507.64,745612.73,585463.43,585463.43,160149.3,48995.2,3814.52,10937.96,18441.03,1737.62,18285.81,10278.49,4797.49,491.95,0,117780.07,42369.23,0,199.76,199.76,0,910.32,24961.38,25871.7,-25671.94,16697.29
1484,187,0,143,2,2,1566,248,193,3,1,3,1,2,168708.26,10136723.33,-9523695.97,781735.62,613027.36,613027.36,168708.26,49711.39,3837.71,11862.1,19756.73,1715.99,29229.49,2025.96,4969.49,512.78,0,123621.64,45086.62,-10647.09,195.81,-10451.28,0,806.49,24961.38,25767.87,-36219.15,8867.47
1496,179,0,121,2,5,1619,266,221,3,2,3,1,3,184891.41,10947211.78,-10291367.66,840735.53,655844.12,655844.12,184891.41,52274.86,4032.4,14503.06,20297.72,1985.89,25344.04,851.33,4866.74,512.78,0,124668.82,60222.59,0,191.84,191.84,0,699.96,24961.38,25661.34,-25469.5,34753.09
1586,190,0,96,2,5,1684,277,248,3,2,3,1,3,176464.43,10590786.85,-9969472.47,797778.81,621314.46,621314.46,176464.35,57482.14,5889.47,13032.6,21826.95,2097.99,31441.34,1451.33,5595.68,512.78,0,139330.28,37134.07,0,187.86,187.86,0,590.65,24961.38,25552.03,-25364.17,11769.9
1560,193,0,60,3,4,1767,290,287,3,2,3,1,3,172346.86,10608992.94,-9983983.95,797355.85,625008.99,625008.99,172346.86,59741.73,5030.59,13598.17,29261.07,2977.58,25656.15,2025.96,1553.62,512.78,0,140357.65,31989.21,0,183.86,183.86,0,478.51,24961.38,25439.89,-25256.03,6733.18
1647,204,2,63,2,4,1832,302,290,3,4,4,2,4,198741.25,11599792.48,-10920143.25,878390.48,679649.23,679649.23,198741.25,76716.94,5337.85,14496.4,23200.39,2416.8,40612.42,952.47,6626.62,512.78,0,170872.67,27868.58,0,179.85,179.85,0,363.44,25167.5,25530.94,-25351.09,2517.49
1764,215,2,58,4,4,2091,311,300,3,2,4,2,3,197145.8,13635497.75,-12948689.01,883954.54,686808.74,686808.74,197145.8,74377.2,6188.37,11387.61,23285.61,3882.25,33166.36,957.07,5750.62,3346.79,735,163076.88,34068.92,0,175.82,175.82,2548.12,245.39,36965.94,39759.45,-39583.63,-5514.71
